date,year,week,dengue_cases,rainfall,rain_days_ge1mm,temperature,humidity,vpd_kpa
30/12/2024,2024,1,482,0.673314528,0.058335478,22.24993579,62.26199286,1.016729533
06/01/2025,2025,2,821,2.585835774,0.128079697,21.41377522,59.38252443,1.038630783
13/01/2025,2025,3,1342,6.078452634,0.272901807,21.07480396,59.94460468,1.001962236
20/01/2025,2025,4,696,5.650989916,0.886932014,23.37721683,59.04487393,1.180238359
27/01/2025,2025,5,632,0.50879696,0.05821015,22.48170912,57.8428214,1.162896863
03/02/2025,2025,6,741,4.863926004,1.154337421,24.07853138,58.90287133,1.24051681
10/02/2025,2025,7,495,1.932253394,0.330325324,25.41334831,54.67473929,1.481307558
17/02/2025,2025,8,529,9.689873779,0.859792429,26.07240371,63.57395038,1.241619405
24/02/2025,2025,9,524,17.31939487,1.31727144,25.50974647,66.82088214,1.139733404
03/03/2025,2025,10,529,5.693762675,0.648384856,26.51057253,62.55930551,1.337974857
10/03/2025,2025,11,768,10.62863602,1.230935129,27.77782476,63.05773082,1.403378581
17/03/2025,2025,12,511,5.063717765,0.566462413,25.44785324,56.66823293,1.423966839
24/03/2025,2025,13,492,9.80327919,0.878472238,28.54051553,56.18013796,1.741481368
31/03/2025,2025,14,483,17.04655046,1.804636869,27.61985208,63.21803775,1.400533633
07/04/2025,2025,15,699,32.70994911,3.636543213,27.7577434,70.26587613,1.146170234
14/04/2025,2025,16,440,33.79250695,3.835263036,27.51115334,73.39207989,1.018567228
21/04/2025,2025,17,643,19.80548172,2.225210692,29.19880178,65.40207783,1.462843682
28/04/2025,2025,18,1666,36.59109967,3.550153268,27.68303627,73.21939821,1.032281235
05/05/2025,2025,19,664,59.39739515,4.873403633,28.1605062,74.07119852,1.029595263
12/05/2025,2025,20,737,63.83062891,5.133476491,26.41125319,84.00846297,0.563837734
19/05/2025,2025,21,999,87.67186494,5.645242336,26.88014225,83.53355288,0.601037541
26/05/2025,2025,22,1055,64.85831791,3.761448829,26.1413186,85.79004652,0.500155853
02/06/2025,2025,23,1334,37.82719474,3.54444306,27.11708721,80.17586597,0.735519537
09/06/2025,2025,24,1891,52.36863058,5.597502876,26.22898229,84.73561276,0.539966846
16/06/2025,2025,25,2223,51.14693071,4.112083234,26.54004763,81.93074515,0.652865112
23/06/2025,2025,26,2492,42.60324121,3.479969943,25.79369836,84.16706245,0.54760042
30/06/2025,2025,27,2672,53.90923137,5.370404593,25.63337192,84.79916739,0.518819373
07/07/2025,2025,28,2205,43.12195487,3.672459819,26.08703391,83.39919538,0.584365431
14/07/2025,2025,29,2722,62.04518849,3.831857088,26.29596675,83.09702384,0.598698426
21/07/2025,2025,30,2559,71.87135728,4.054180112,25.59894296,86.13123339,0.484042381
28/07/2025,2025,31,2333,17.53240551,1.523546374,26.8854651,80.0431136,0.736160425
04/08/2025,2025,32,2207,43.36372255,3.934084965,27.04604597,79.05188439,0.777042948
11/08/2025,2025,33,2221,59.12010212,4.25975452,25.72323215,84.51740316,0.532058391
18/08/2025,2025,34,1994,51.43097716,4.429131928,25.71326224,84.55617588,0.524266026
25/08/2025,2025,35,1355,89.89223635,4.624979773,25.32619624,86.14417978,0.468606164
